Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
293,Exit short,2025-11-26 09:00,Trailing Stop,176.39,5.654,999.9099,1.6,0.16,1,12.05,1.20,-12.15,-1.21,1202.51,601.25,2
293,Entry short,2025-11-26 01:00,Short Entry,176.85,5.654,999.9099,1.6,0.16,1,12.05,1.20,-12.15,-1.21,1202.51,601.25,2
294,Exit short,2025-11-30 05:00,Take Profit,179.66,5.393,999.91613,30.03,3.00,0.98,30.51,3.05,-5.52,-0.55,1232.53,616.27,0
294,Entry short,2025-11-30 05:00,Short Entry,185.41,5.393,999.91613,30.03,3.00,0.98,30.51,3.05,-5.52,-0.55,1232.53,616.27,0
295,Exit short,2025-12-03 09:00,Trailing Stop,192.14,5.195,999.88165,0.72,0.07,1,11.19,1.12,-0.5,-0.05,1233.25,616.62,0
295,Entry short,2025-12-03 09:00,Short Entry,192.47,5.195,999.88165,0.72,0.07,1,11.19,1.12,-0.5,-0.05,1233.25,616.62,0
296,Exit short,2025-12-04 05:00,Trailing Stop,194.18,5.062,999.9981,16.07,1.61,0.99,26.53,2.65,-1.66,-0.17,1249.32,624.66,1
296,Entry short,2025-12-04 01:00,Short Entry,197.55,5.062,999.9981,16.07,1.61,0.99,26.53,2.65,-1.66,-0.17,1249.32,624.66,1
297,Exit short,2025-12-10 01:00,Trailing Stop,200.34,4.943,999.91947,8.64,0.86,1,19.12,1.91,-5.69,-0.57,1257.96,628.98,1
297,Entry short,2025-12-09 21:00,Short Entry,202.29,4.943,999.91947,8.64,0.86,1,19.12,1.91,-5.69,-0.57,1257.96,628.98,1
298,Exit short,2025-12-12 13:00,Trailing Stop,191.08,5.187,999.89799,7.77,0.78,1,18.23,1.82,-7.09,-0.71,1265.73,632.86,0
298,Entry short,2025-12-12 13:00,Short Entry,192.77,5.187,999.89799,7.77,0.78,1,18.23,1.82,-7.09,-0.71,1265.73,632.86,0
299,Exit long,2025-12-23 17:00,Trailing Stop,150.92,6.633,999.92475,0.13,0.01,1,10.58,1.06,-5.47,-0.55,1265.86,632.93,0
299,Entry long,2025-12-23 17:00,Long Entry,150.75,6.633,999.92475,0.13,0.01,1,10.58,1.06,-5.47,-0.55,1265.86,632.93,0
300,Exit long,2025-12-25 01:00,Trailing Stop,149.89,6.713,999.83422,5.37,0.54,1,15.81,1.58,-11.44,-1.14,1271.23,635.62,4
300,Entry long,2025-12-24 09:00,Long Entry,148.94,6.713,999.83422,5.37,0.54,1,15.81,1.58,-11.44,-1.14,1271.23,635.62,4
301,Exit long,2026-01-01 17:00,Trailing Stop,148.03,6.852,999.98088,13.31,1.33,1.01,23.76,2.37,-7.21,-0.72,1284.54,642.27,5
301,Entry long,2025-12-31 21:00,Long Entry,145.94,6.852,999.98088,13.31,1.33,1.01,23.76,2.37,-7.21,-0.72,1284.54,642.27,5
302,Exit short,2026-01-05 05:00,Trailing Stop,164.28,6.079,999.93471,0.28,0.03,1,10.75,1.07,-0.5,-0.05,1284.82,642.41,0
302,Entry short,2026-01-05 05:00,Short Entry,164.49,6.079,999.93471,0.28,0.03,1,10.75,1.07,-0.5,-0.05,1284.82,642.41,0
303,Exit short,2026-01-06 01:00,Stop Loss,174.02,5.855,999.85835,-20.04,-2.00,1.01,1.02,0.10,-19.53,-1.95,1264.78,632.39,1
303,Entry short,2026-01-05 21:00,Short Entry,170.77,5.855,999.85835,-20.04,-2.00,1.01,1.02,0.10,-19.53,-1.95,1264.78,632.39,1
304,Exit short,2026-01-06 13:00,Trailing Stop,169.31,5.788,999.877,18.92,1.89,0.99,29.37,2.94,-2.87,-0.29,1283.7,641.85,0
304,Entry short,2026-01-06 13:00,Short Entry,172.75,5.788,999.877,18.92,1.89,0.99,29.37,2.94,-2.87,-0.29,1283.7,641.85,0
305,Exit short,2026-01-07 05:00,Trailing Stop,171.24,5.811,999.95688,3.88,0.39,1,14.38,1.44,-15.14,-1.51,1287.59,643.79,1
305,Entry short,2026-01-07 01:00,Short Entry,172.08,5.811,999.95688,3.88,0.39,1,14.38,1.44,-15.14,-1.51,1287.59,643.79,1
